====== GPT-2 Fine-Tuning Log ======

Step	Epoch	Metrics
1090	0.7349966284558328	{'loss': 3.2609, 'grad_norm': 8.454853057861328, 'learning_rate': 8.531355360755226e-06, 'epoch': 0.7349966284558328}
1100	0.7417397167902899	{'loss': 3.3991, 'grad_norm': 8.689467430114746, 'learning_rate': 8.517869184086313e-06, 'epoch': 0.7417397167902899}
1110	0.7484828051247472	{'loss': 3.3029, 'grad_norm': 10.769396781921387, 'learning_rate': 8.504383007417398e-06, 'epoch': 0.7484828051247472}
1120	0.7552258934592043	{'loss': 3.3003, 'grad_norm': 8.501497268676758, 'learning_rate': 8.490896830748484e-06, 'epoch': 0.7552258934592043}
1130	0.7619689817936615	{'loss': 3.2205, 'grad_norm': 8.649153709411621, 'learning_rate': 8.477410654079569e-06, 'epoch': 0.7619689817936615}
1140	0.7687120701281187	{'loss': 3.0692, 'grad_norm': 11.049216270446777, 'learning_rate': 8.463924477410654e-06, 'epoch': 0.7687120701281187}
1150	0.7754551584625758	{'loss': 3.2935, 'grad_norm': 8.930273056030273, 'learning_rate': 8.45043830074174e-06, 'epoch': 0.7754551584625758}
1160	0.7821982467970331	{'loss': 3.2062, 'grad_norm': 8.466168403625488, 'learning_rate': 8.436952124072826e-06, 'epoch': 0.7821982467970331}
1170	0.7889413351314902	{'loss': 3.2157, 'grad_norm': 8.28667163848877, 'learning_rate': 8.423465947403911e-06, 'epoch': 0.7889413351314902}
1180	0.7956844234659474	{'loss': 3.2634, 'grad_norm': 10.356010437011719, 'learning_rate': 8.409979770734998e-06, 'epoch': 0.7956844234659474}
1190	0.8024275118004046	{'loss': 3.1618, 'grad_norm': 9.959563255310059, 'learning_rate': 8.396493594066082e-06, 'epoch': 0.8024275118004046}
1200	0.8091706001348618	{'loss': 3.0877, 'grad_norm': 7.84636116027832, 'learning_rate': 8.383007417397169e-06, 'epoch': 0.8091706001348618}
1210	0.815913688469319	{'loss': 3.1267, 'grad_norm': 7.075128078460693, 'learning_rate': 8.369521240728255e-06, 'epoch': 0.815913688469319}
